category_id,views,likes,dislikes,comment_count,country
22,62408,334,190,50,RU
22,330043,43841,2244,2977,RU
24,424596,49854,714,2944,RU
22,112851,3566,122,80,RU
24,243469,36216,631,1692,RU
24,733936,47964,2545,3901,RU
28,1131851,78692,2427,4114,RU
22,97006,2259,330,887,RU
24,105116,9780,93,1184,RU
23,442228,3194,5985,3218,RU
23,419835,27738,656,4681,RU
23,64303,1864,1856,263,RU
28,163041,25462,420,3210,RU
27,23405,32,186,39,RU
17,113371,218,62,95,RU
23,210181,34370,26569,5828,RU
24,191348,10679,762,790,RU
22,148974,5434,5247,1612,RU
2,362255,13776,874,1331,RU
25,46143,45,566,73,RU
24,101081,4937,453,1140,RU
15,297604,16641,537,1353,RU
24,317094,6433,158,532,RU
20,285049,25939,446,987,RU
22,332741,8358,2228,966,RU
1,23316,699,160,217,RU
17,345569,16751,769,2630,RU
24,151624,106,35,53,RU
22,79197,225,343,119,RU
23,738654,38917,1724,2339,RU
22,748374,57527,2966,15954,US
24,2418783,97185,6146,12703,US
23,3191434,146033,5339,8181,US
24,343168,10172,666,2146,US
24,2095731,132235,1989,17518,US
28,119180,9763,511,1434,US
24,2103417,15993,2445,1970,US
28,817732,23663,778,3432,US
1,826059,3543,119,340,US
25,256426,12654,1363,2368,US
17,81377,655,25,177,US
24,104578,1576,303,1279,US
10,687582,114188,1333,8371,US
25,544770,7848,1171,3981,US
15,207532,7473,246,2120,US
28,75752,9419,52,1230,US
23,295639,8011,638,1256,US
27,78044,5398,53,385,US
28,97007,11963,36,2211,US
27,223871,8421,191,1214,US
27,115791,9586,75,2800,US
28,224019,3585,138,208,US
27,144418,11758,89,1014,US
26,145921,1707,578,673,US
23,33980,4884,52,234,US
24,223077,8676,193,1392,US
28,80705,4687,41,437,US
26,120727,9033,224,1346,US
25,27943,156,36,83,US
1,50867,715,238,246,US
26,7224515,55681,10247,9479,GB
24,1053632,25561,2294,2757,GB
10,91776,4604,46,357,GB
17,27833,193,12,37,GB
25,9815,30,2,30,GB
24,1182775,52708,1431,2333,GB
24,71231,1881,182,316,GB
22,1164201,57309,749,624,GB
10,154494,2163,147,211,GB
10,9548677,190084,15015,11473,GB
17,306724,9591,266,448,GB
25,254314,1746,125,298,GB
10,946859,37986,816,2006,GB
26,300617,8133,2693,2911,GB
26,2063667,98804,11682,11443,GB
24,728547,12553,2146,1143,GB
10,893462,22326,833,943,GB
10,5476738,286269,4083,12254,GB
23,3371669,202676,3394,20086,GB
24,2237404,72593,1830,3501,GB
26,238843,10028,248,650,GB
24,5541767,263918,1502,10706,GB
10,3407008,207262,3167,13279,GB
10,626688,25115,499,1392,GB
10,74934,4577,292,440,GB
28,1575525,52829,1524,5864,GB
17,86296,629,77,642,GB
22,110769,5029,81,305,GB
23,3578502,307435,2573,12248,GB
24,28960,399,14,114,GB
24,212702,29282,1108,3817,FR
24,432721,14053,576,1161,FR
23,482153,76203,477,9580,FR
20,925222,85016,550,4303,FR
17,141695,8091,72,481,FR
23,141253,14354,202,417,FR
24,187654,9286,1381,2419,FR
24,91051,1674,1903,701,FR
24,2340941,200598,6018,7575,FR
22,635236,5945,722,1483,FR
24,294065,0,0,0,FR
23,1504950,108635,1562,2913,FR
24,335121,23410,2034,3004,FR
27,53248,5164,43,234,FR
23,55313,4153,97,396,FR
23,172608,8163,95,237,FR
26,373013,23645,411,813,FR
24,79611,56,4,25,FR
20,255349,20069,245,950,FR
24,653398,27773,2778,3976,FR
28,152390,4666,1668,1335,FR
24,321090,36515,3354,13845,FR
24,2418783,97192,6146,12703,FR
24,72519,689,23,362,FR
2,166132,13758,156,1042,FR
26,240158,6765,160,935,FR
25,49188,4835,362,914,FR
17,160173,6226,82,424,FR
23,3641421,218587,5809,12649,FR
1,102804,6306,179,421,FR
25,188085,591,189,0,JP
1,90929,442,88,174,JP
28,6408303,165892,2331,3006,JP
25,96255,1165,277,545,JP
1,108408,1336,74,201,JP
22,193593,0,0,53,JP
22,55465,189,339,800,JP
23,66272,51,167,164,JP
23,57820,334,76,107,JP
19,105112,1547,540,499,JP
15,76621,545,16,0,JP
24,245032,3020,222,0,JP
24,37906,154,49,69,JP
26,120824,5699,89,699,JP
23,1649451,23979,11290,4194,JP
24,23572,602,40,655,JP
22,34020,72,19,73,JP
25,121271,330,168,25,JP
26,51006,1044,87,156,JP
25,98294,80,39,35,JP
24,43853,0,0,13,JP
22,28545,506,37,140,JP
24,18025,56,7,46,JP
2,12637,288,3,21,JP
22,91931,235,96,71,JP
1,108408,1336,74,201,JP
23,60140,185,36,89,JP
15,9854,227,22,94,JP
24,23903,405,16,50,JP
25,12463,0,0,0,JP
